old_name,new_name
DYBto2LB-4Jets_MLL-120-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-120-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-120-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-120-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-120-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-120-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-120-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-120-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8
blank,blank
DYto2L-4Jets_XX-XtoX_BGenFilter_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-XX-XtoX_Fil-BGen_TuneCP5_13p6TeV_madgraphMLM-pythia8
Z,blank
Zto2Nu-4Jets_HT-100to200_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Nu-4Jets_Bin-HT-100to200_TuneCP5_13p6TeV_madgraphMLM-pythia8
Zto2Nu-4Jets_HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Nu-4Jets_Bin-HT-200to400_TuneCP5_13p6TeV_madgraphMLM-pythia8
Zto2Nu-4Jets_HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Nu-4Jets_Bin-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8
Zto2Nu-4Jets_HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Nu-4Jets_Bin-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8
Zto2Nu-4Jets_HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Nu-4Jets_Bin-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8
Zto2Nu-4Jets_HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,Zto2Nu-4Jets_Bin-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8
blank,blank
ZBto2NuB-4Jets_HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8,ZBto2NuB-4Jets_Bin-HT-XtoX_TuneCP5_13p6TeV_madgraphMLM-pythia8
